Ticker,Date/Time,Open,High,Low,Close,Volume
FPT,1/5/2015,27.78,27.90,27.55,27.67,273550
FPT,1/6/2015,27.50,27.84,27.38,27.84,364050
FPT,1/7/2015,27.84,28.42,27.84,28.01,405560
FPT,1/8/2015,27.96,28.01,27.67,27.73,227300
FPT,1/9/2015,27.73,28.07,27.73,27.96,320210
FPT,1/12/2015,27.96,28.48,27.96,28.13,679050
FPT,1/13/2015,28.01,28.25,28.01,28.19,242060
FPT,1/14/2015,28.19,28.31,27.90,28.13,421120
FPT,1/15/2015,28.25,28.25,28.01,28.19,281910
FPT,1/16/2015,28.25,28.25,28.01,28.07,174340
FPT,1/19/2015,28.07,28.07,27.78,27.78,367020
FPT,1/20/2015,27.78,27.90,27.73,27.78,344010
FPT,1/21/2015,27.90,28.25,27.90,28.01,607260
FPT,1/22/2015,28.13,28.13,27.90,27.90,299200
FPT,1/23/2015,28.01,28.19,27.90,28.01,386280
FPT,1/26/2015,28.01,28.19,28.01,28.01,384170
FPT,1/27/2015,27.96,28.13,27.78,27.78,424160
FPT,1/28/2015,27.73,27.96,27.67,27.73,260670
FPT,1/29/2015,27.73,27.78,27.67,27.73,224460
FPT,1/30/2015,27.78,27.84,27.50,27.50,587470
FPT,2/2/2015,27.55,27.67,27.38,27.44,219410
FPT,2/3/2015,27.44,27.50,27.20,27.20,207170
FPT,2/4/2015,27.44,27.44,27.03,27.15,307040
FPT,2/5/2015,27.20,27.50,27.15,27.32,182990
FPT,2/6/2015,27.50,27.50,27.32,27.38,114380
FPT,2/9/2015,27.61,27.61,27.32,27.32,145540
FPT,2/10/2015,27.32,27.38,27.20,27.26,143310
FPT,2/11/2015,27.38,27.50,27.32,27.50,139400
FPT,2/12/2015,27.73,27.90,27.67,27.67,435120
FPT,2/13/2015,27.78,27.90,27.67,27.78,198830
FPT,2/24/2015,27.90,28.25,27.90,28.13,351850
FPT,2/25/2015,28.25,28.36,28.01,28.07,520900
FPT,2/26/2015,28.01,28.36,28.01,28.36,276700
FPT,2/27/2015,28.42,28.54,28.19,28.25,314940
FPT,3/2/2015,28.36,28.36,28.01,28.07,471270
FPT,3/3/2015,28.25,28.31,28.13,28.31,214540
FPT,3/4/2015,28.48,29.23,28.48,28.94,993500
FPT,3/5/2015,29.23,29.52,28.94,28.94,393540
FPT,3/6/2015,28.94,29.23,28.89,28.94,335140
FPT,3/9/2015,28.89,28.94,28.48,28.48,414700
FPT,3/10/2015,28.65,28.77,28.54,28.77,328390
FPT,3/11/2015,28.77,28.77,28.59,28.65,293150
FPT,3/12/2015,28.65,28.65,28.42,28.48,368140
FPT,3/13/2015,28.65,28.77,28.42,28.48,284450
FPT,3/16/2015,28.48,28.59,28.48,28.59,214490
FPT,3/17/2015,28.65,29.23,28.65,28.94,717570
FPT,3/18/2015,28.94,28.94,28.71,28.71,228430
FPT,3/19/2015,28.89,28.94,28.65,28.65,252430
