Ticker,Date/Time,Open,High,Low,Close,Volume
REE,1/5/2015,20.89,21.11,20.74,20.74,564940
REE,1/6/2015,20.44,21.11,20.44,21.11,701720
REE,1/7/2015,20.97,21.26,20.89,20.89,511170
REE,1/8/2015,20.82,20.89,20.59,20.67,576380
REE,1/9/2015,20.67,20.97,20.67,20.82,602250
REE,1/12/2015,20.82,21.19,20.67,20.97,977040
REE,1/13/2015,20.89,21.11,20.82,21.11,510930
REE,1/14/2015,21.26,21.56,21.11,21.41,2206320
REE,1/15/2015,21.41,21.56,21.34,21.56,728400
REE,1/16/2015,21.56,21.64,21.26,21.34,455700
REE,1/19/2015,21.26,21.41,20.89,20.97,853240
REE,1/20/2015,20.97,21.19,20.89,21.04,532380
REE,1/21/2015,21.19,21.41,21.04,21.11,1201140
REE,1/22/2015,21.19,21.26,21.11,21.19,545320
REE,1/23/2015,21.26,21.64,21.19,21.64,1199550
REE,1/26/2015,21.64,21.93,21.64,21.71,975020
REE,1/27/2015,21.71,21.71,21.19,21.19,1506040
REE,1/28/2015,21.56,21.86,21.41,21.64,1749290
REE,1/29/2015,21.71,21.71,21.41,21.64,746010
REE,1/30/2015,21.64,21.64,21.11,21.19,1097030
REE,2/2/2015,21.11,21.19,20.97,20.97,796250
REE,2/3/2015,20.97,21.34,20.82,20.82,1349910
REE,2/4/2015,20.89,20.89,20.74,20.74,560860
REE,2/5/2015,20.97,21.11,20.82,21.11,243050
REE,2/6/2015,21.11,21.19,20.89,21.19,387320
REE,2/9/2015,21.19,21.19,20.97,20.97,318740
REE,2/10/2015,20.97,21.19,20.89,21.19,303640
REE,2/11/2015,21.04,21.34,21.04,21.34,349340
REE,2/12/2015,21.34,21.78,21.34,21.71,939570
REE,2/13/2015,21.93,22.08,21.78,21.93,887320
REE,2/24/2015,21.93,22.01,21.86,22.01,666770
REE,2/25/2015,22.40,22.40,21.85,21.85,1178180
REE,2/26/2015,21.93,21.93,21.61,21.61,798340
REE,2/27/2015,21.77,21.77,21.61,21.61,423510
REE,3/2/2015,21.61,21.61,21.46,21.46,586090
REE,3/3/2015,21.46,21.69,21.46,21.69,519730
REE,3/4/2015,21.77,22.01,21.77,22.01,689080
REE,3/5/2015,22.01,22.01,21.85,21.93,799720
REE,3/6/2015,22.16,22.16,21.93,22.01,1213850
REE,3/9/2015,21.85,22.01,21.69,21.77,398980
REE,3/10/2015,21.69,21.77,21.61,21.69,389940
REE,3/11/2015,21.69,21.77,21.53,21.53,377040
REE,3/12/2015,21.61,21.61,21.46,21.61,295930
REE,3/13/2015,21.69,21.77,21.61,21.61,251990
REE,3/16/2015,21.61,21.61,21.46,21.46,436120
REE,3/17/2015,21.46,21.53,21.38,21.53,291220
REE,3/18/2015,21.61,21.61,21.30,21.38,321700
REE,3/19/2015,21.38,21.53,21.22,21.22,416730
REE,3/20/2015,21.14,21.30,21.06,21.22,342550
REE,3/23/2015,21.30,21.30,20.98,20.98,328740
REE,3/24/2015,20.98,20.98,20.59,20.75,619280
REE,3/25/2015,20.67,20.91,20.67,20.67,309440
REE,3/26/2015,20.67,20.91,20.59,20.75,617310
REE,3/27/2015,20.98,20.98,20.67,20.67,213180
REE,3/30/2015,20.67,20.83,20.43,20.51,353580
REE,3/31/2015,20.51,20.67,20.43,20.67,286670
REE,4/1/2015,20.75,20.75,20.20,20.28,586430
REE,4/2/2015,20.28,20.43,20.20,20.43,363090
REE,4/3/2015,20.43,20.43,20.28,20.28,374000
REE,4/6/2015,20.43,20.51,20.35,20.35,216740
REE,4/7/2015,20.43,20.51,20.28,20.51,231080
REE,4/8/2015,20.59,20.67,20.51,20.59,222770
REE,4/9/2015,20.59,20.67,20.51,20.51,211860
REE,4/10/2015,20.51,20.75,20.51,20.59,343500
REE,4/13/2015,20.59,20.75,20.51,20.67,247130
REE,4/14/2015,20.67,20.67,20.43,20.51,162260
REE,4/15/2015,20.51,20.51,20.43,20.43,303480
REE,4/16/2015,20.43,20.67,20.43,20.67,344720
REE,4/17/2015,20.67,21.22,20.67,21.06,875300
REE,4/20/2015,21.06,21.06,20.83,20.98,192700
REE,4/21/2015,20.91,20.98,20.75,20.75,284200
REE,4/22/2015,20.75,20.75,20.51,20.59,399510
REE,4/23/2015,20.59,20.67,20.43,20.51,286670
REE,4/24/2015,20.51,20.67,20.43,20.59,167690
REE,4/27/2015,20.59,20.83,20.51,20.59,158070
REE,5/4/2015,20.59,20.59,19.96,20.04,717960
REE,5/5/2015,20.04,20.20,19.73,20.20,482250
REE,5/6/2015,20.20,20.20,19.89,19.89,360960
REE,5/7/2015,19.89,20.04,19.81,19.96,208750
REE,5/8/2015,19.96,20.20,19.96,19.96,173390
REE,5/11/2015,19.96,20.04,19.89,19.96,71930
REE,5/12/2015,19.96,20.04,19.73,19.89,289840
REE,5/13/2015,19.89,20.04,19.81,19.81,189390
REE,5/14/2015,19.81,19.81,19.65,19.73,303130
REE,5/15/2015,19.73,19.81,19.33,19.41,573960
REE,5/18/2015,19.33,19.41,18.78,18.78,637070
REE,5/19/2015,18.78,19.49,18.78,18.86,196150
REE,5/20/2015,18.86,19.65,18.86,19.65,458490
REE,5/21/2015,19.65,20.04,19.49,19.89,301910
REE,5/22/2015,19.73,20.12,19.73,19.96,375040
REE,5/25/2015,20.12,20.12,19.81,20.04,133450
REE,5/26/2015,20.04,20.12,19.81,20.04,198930
REE,5/27/2015,20.04,20.04,19.81,19.81,159450
REE,5/28/2015,19.81,20.28,19.73,19.96,397550
REE,5/29/2015,19.96,20.12,19.89,19.89,216970
REE,6/1/2015,19.89,20.04,19.81,19.81,126610
REE,6/2/2015,19.96,19.96,19.65,19.65,235620
REE,6/3/2015,19.73,19.73,19.57,19.65,137680
REE,6/4/2015,19.89,19.96,19.81,19.81,449520
REE,6/5/2015,19.96,20.59,19.89,20.43,1417990
REE,6/8/2015,20.59,20.67,20.35,20.35,778740
REE,6/9/2015,20.28,20.43,20.04,20.12,363530
REE,6/10/2015,20.12,20.20,19.89,19.96,539780
REE,6/11/2015,20.12,20.35,20.04,20.20,452540
REE,6/12/2015,20.28,20.35,20.04,20.20,402250
REE,6/15/2015,20.28,20.35,20.04,20.04,304110
REE,6/16/2015,20.28,20.28,20.04,20.12,211870
REE,6/17/2015,20.12,20.12,19.96,19.96,291810
REE,6/18/2015,20.04,20.12,19.96,20.04,270990
REE,6/19/2015,20.12,20.43,20.12,20.20,496920
REE,6/22/2015,20.28,20.59,20.20,20.51,435760
REE,6/23/2015,20.43,20.75,20.43,20.51,504480
REE,6/24/2015,20.43,20.59,20.28,20.43,383850
REE,6/25/2015,20.28,20.43,20.28,20.28,224940
